elapsed_wall,clock,odom_stamp,odom_latency_sec,tracked_pose_stamp,tracked_pose_latency_sec,scan_stamp,scan_age_sec,imu_stamp,imu_age_sec,odom_wheel_stamp,odom_wheel_age_sec,tracked_to_odom_stamp_delta_sec,frame_id,child_frame_id,x,y,z,yaw
2.4761472559998765,1779892307.3768804,1779099286.5755122,793020.8013682365,1779099286.5755122,793020.8013682365,1779099286.5741875,793020.8026928902,1779099286.5726037,793020.8042767048,1779099286.5718584,793020.8050220013,0.0,map,base_link,-0.003506776523434269,-0.0005337633405964683,0.0,-0.004058613284936029
2.5302388290001545,1779892307.4309738,1779099286.6255262,793020.8054475784,1779099286.6255262,793020.8054475784,1779099286.6241357,793020.8068380356,1779099286.6326268,793020.7983469963,1779099286.6317568,793020.7992169857,0.0,map,base_link,-0.007251527516328214,0.006533643759444417,0.0,-0.0036764474949329325
2.5826852360000885,1779892307.4834218,1779099286.675502,793020.8079197407,1779099286.675502,793020.8079197407,1779099286.674077,793020.8093447685,1779099286.6826448,793020.8007769585,1779099286.6717393,793020.8116824627,0.0,map,base_link,-0.010630792330158552,-0.007973824827178356,0.0,-0.0032304500571467684
2.6262138450001657,1779892307.5269508,1779099286.7255404,793020.8014104366,1779099286.7255404,793020.8014104366,1779099286.7241387,793020.8028120995,1779099286.722659,793020.8042917252,1779099286.7116475,793020.8153033257,0.0,map,base_link,-0.008253804987202087,0.0019778003417659923,0.0,-0.0034249551083979763
2.678360239000085,1779892307.5790987,1779099286.7754986,793020.8036000729,1779099286.7754986,793020.8036000729,1779099286.7741222,793020.8049764633,1779099286.782659,793020.7964396477,1779099286.7718096,793020.8072891235,0.0,map,base_link,-0.009225168696690779,0.008207364983168264,0.0,-0.0035073905350893743
2.7321272150002187,1779892307.6328657,1779099286.825502,793020.8073637486,1779099286.825502,793020.8073637486,1779099286.8241591,793020.808706522,1779099286.8326461,793020.8002195358,1779099286.831819,793020.8010466099,0.0,map,base_link,-0.008162717312665525,0.006645219916471195,0.0,-0.005352035367414159
2.7758726320003007,1779892307.6766138,1779099286.8754811,793020.801132679,1779099286.8754811,793020.801132679,1779099286.8741639,793020.8024499416,1779099286.8726306,793020.8039832115,1779099286.866645,793020.80996871,0.0,map,base_link,-0.008720243011516927,-0.006722332845629365,0.0,-0.004003384976539775
2.829554694000308,1779892307.7302954,1779099286.9254763,793020.804819107,1779099286.9254763,793020.804819107,1779099286.924205,793020.8060903549,1779099286.932652,793020.7976434231,1779099286.9318454,793020.7984499931,0.0,map,base_link,-0.006831739763098117,0.0033762070205785553,0.0,-0.003878561439791998
2.8832167979999213,1779892307.783957,1779099286.9755008,793020.8084561825,1779099286.9755006,793020.8084564209,1779099286.9741423,793020.8098146915,1779099286.982669,793020.8012878895,1779099286.9716413,793020.8123157024,2.384185791015625e-07,map,base_link,-0.0066348542509719974,0.002140175632513475,0.0,-0.004659063788067019
2.926992419000271,1779892307.8277338,1779099287.0255265,793020.8022072315,1779099287.0255265,793020.8022072315,1779099287.0241745,793020.8035593033,1779099287.0226822,793020.8050515652,1779099287.0316525,793020.7960813046,0.0,map,base_link,-0.014689688835822777,0.0002442228507532158,0.0,-0.002843910207228701
2.9807367920002434,1779892307.881478,1779099287.0754917,793020.8059864044,1779099287.0754917,793020.8059864044,1779099287.0741706,793020.8073074818,1779099287.0827007,793020.7987773418,1779099287.071616,793020.8098621368,0.0,map,base_link,-0.011748614401255464,-0.006376551753548126,0.0,-0.0029263163939695263
